Description,Name
NonFamilies Inc $45000-49999 (2019),NIXCY4550
NonFamilies Inc $50000-54999 (2019),NIXCY5055
NonFamilies Inc $55000-59999 (2019),NIXCY5560
NonFamilies Inc $60000-64999 (2019),NIXCY6065
NonFamilies Inc $65000-69999 (2019),NIXCY6570
NonFamilies Inc $70000-74999 (2019),NIXCY7075
NonFamilies Inc $75000-79999 (2019),NIXCY7580
NonFamilies Inc $80000-84999 (2019),NIXCY8085
NonFamilies Inc $85000-89999 (2019),NIXCY8590
NonFamilies Inc $90000-94999 (2019),NIXCY9095
NonFamilies Inc $95000-99999 (2019),NIXCY95100
NonFamilies Inc $100000-124999 (2019),NIXCY10025
NonFamilies Inc $125000-149999 (2019),NIXCY12550
NonFamilies Inc $150000-199999 (2019),NIXCY15020
NonFamilies Inc $200000-249999 (2019),NIXCY20050
NonFamilies Inc $250000-499999 (2019),NIXCY25050
NonFamilies Inc $500000+ (2019),NIXCYGT500
Now Married (2019),MARCYMARR
Occupied units owner (2019),DWLCYOWNED
Occupied units renter (2019),DWLCYRENT
Other Non-Institutional Group Quarters (2019),GRPCYOTHN
Owner hh 1 vehicle available (2019),VPHCYO1
Owner hh 2 vehicles available (2019),VPHCYO2
Owner hh 3 vehicles available (2019),VPHCYO3
Owner hh 4 vehicles available (2019),VPHCYO4
Owner hh 5+ vehicles available (2019),VPHCYO5
Owner hh no vehicle available (2019),VPHCYO0
Owner Households - 1 Person (2019),HSTCYOWN1
Owner Households - 2 Person (2019),HSTCYOWN2
Owner Households - 3 Person (2019),HSTCYOWN3
Owner Households - 4 Person (2019),HSTCYOWN4
Owner Households - 5 Person (2019),HSTCYOWN5
Owner Households - 6 Person (2019),HSTCYOWN6
Owner Households - 7+ Person (2019),HSTCYOWN7
Per capita income (2019),INCCYPCAP
Pop 16+ civilian employed (2019),LBFCYEMPL
Pop 16+ civilian unemployed (2019),LBFCYUNEM
Pop 16+ in Armed Forces (2019),LBFCYARM
Pop 16+ not in labor force (2019),LBFCYNLF
Pop 25+ 9th-12th grade no diploma (2019),EDUCYSHSCH
Pop 25+ Associate degree (2019),EDUCYASSOC
"Pop 25+ Bachelor's degree (2019)",EDUCYBACH
Pop 25+ college no diploma (2019),EDUCYSCOLL
Pop 25+ graduate or prof school degree (2019),EDUCYGRAD
Pop 25+ HS graduate (2019),EDUCYHSCH
Pop 25+ less than 9th grade (2019),EDUCYLTGR9
Pop Age < 1 Year (2019),AGDCYLT1
Pop Age >85 (2019),AGDCYGT85
Pop age 0-4 (2019),AGECY0004
Pop Age 1 (2019),AGDCY1
Pop Age 2 (2019),AGDCY2
Pop Age 3 (2019),AGDCY3
Pop Age 4 (2019),AGDCY4
Pop Age 5 (2019),AGDCY5
Pop age 5-9 (2019),AGECY0509
Pop Age 6 (2019),AGDCY6
Pop Age 7 (2019),AGDCY7
Pop Age 8 (2019),AGDCY8
Pop Age 9 (2019),AGDCY9
Pop Age 10 (2019),AGDCY10
Pop age 10-14 (2019),AGECY1014
Pop Age 11 (2019),AGDCY11
Pop Age 12 (2019),AGDCY12
Pop Age 13 (2019),AGDCY13
Pop Age 14 (2019),AGDCY14
Pop Age 15 (2019),AGDCY15
Pop age 15-19 (2019),AGECY1519
Pop Age 15+ (2019),AGECYGT15
Pop Age 16 (2019),AGDCY16
Pop Age 16+ (2019),LBFCYPOP16
Pop Age 17 (2019),AGDCY17
Pop Age 18 (2019),AGDCY18
Pop Age 19 (2019),AGDCY19
Pop Age 20-24 (2019),AGDCY2024
Pop age 20-24 (2019),AGECY2024
Pop Age 25-29 (2019),AGDCY2529
Pop age 25-29 (2019),AGECY2529
Pop Age 25+ (2019),AGECYGT25
Pop Age 30-34 (2019),AGDCY3034
Pop age 30-34 (2019),AGECY3034
Pop Age 35-39 (2019),AGDCY3539
Pop age 35-39 (2019),AGECY3539
Pop Age 40-44 (2019),AGDCY4044
Pop age 40-44 (2019),AGECY4044
Pop Age 45-49 (2019),AGDCY4549
Pop age 45-49 (2019),AGECY4549
Pop Age 50-54 (2019),AGDCY5054
Pop age 50-54 (2019),AGECY5054
Pop Age 55-59 (2019),AGDCY5559
Pop age 55-59 (2019),AGECY5559
Pop Age 60-64 (2019),AGDCY6064
Pop age 60-64 (2019),AGECY6064
Pop Age 65-69 (2019),AGDCY6569
Pop age 65-69 (2019),AGECY6569
Pop Age 70-74 (2019),AGDCY7074
Pop age 70-74 (2019),AGECY7074
Pop Age 75-79 (2019),AGDCY7579
Pop age 75-79 (2019),AGECY7579
Pop Age 80-84 (2019),AGDCY8084
Pop age 80-84 (2019),AGECY8084
Pop age 85+ (2019),AGECYGT85
Pop Am In/AK Nat (2019),RACCYAMIND
Pop Asian (2019),RACCYASIAN
Pop black (2019),RACCYBLACK
Pop female (2019),SEXCYFEM
Pop female < 5 yrs (2019),AGECYF0004
Pop female 5-9 yrs (2019),AGECYF0509
Pop female 10-14 yrs (2019),AGECYF1014
Pop female 15-19 yrs (2019),AGECYF1519
Pop female 16+ civilian employed (2019),LBFCYFEMPL
Pop female 16+ civilian unemployed (2019),LBFCYFUNEM
Pop female 16+ in Armed Forces (2019),LBFCYFARM
Pop female 16+ not in labor force (2019),LBFCYFNLF
Pop female 20-24 yrs (2019),AGECYF2024
Pop female 25-29 yrs (2019),AGECYF2529
Pop female 30-34 yrs (2019),AGECYF3034
Pop female 35-39 yrs (2019),AGECYF3539
Pop female 40-44 yrs (2019),AGECYF4044
Pop female 45-49 yrs (2019),AGECYF4549
Pop female 50-54 yrs (2019),AGECYF5054
Pop female 55-59 yrs (2019),AGECYF5559
Pop female 60-64 yrs (2019),AGECYF6064
Pop female 65-69 yrs (2019),AGECYF6569
Pop female 70-74 yrs (2019),AGECYF7074
Pop female 75-79 yrs (2019),AGECYF7579
Pop female 80-84 yrs (2019),AGECYF8084
Pop female 85+ yrs (2019),AGECYFGT85
Pop Hawaiian/PI (2019),RACCYHAWAI
Pop Hispanic (2019),HISCYHISP
Pop in Family Hhlds (2019),POPCYFAM
Pop in Group Quarters (2019),POPCYGRP
Pop In Labor Force (2019),LBFCYLBF
Pop in Non-Family Hhlds (2019),POPCYNFM
Pop male (2019),SEXCYMAL
Pop male < 5 yrs (2019),AGECYM0004
Pop male 5-9 yrs (2019),AGECYM0509
Pop male 10-14 yrs (2019),AGECYM1014
Pop male 15-19 yrs (2019),AGECYM1519
Pop male 16+ civilian employed (2019),LBFCYMEMPL
Pop male 16+ civilian unemployed (2019),LBFCYMUNEM
Pop male 16+ in Armed Forces (2019),LBFCYMARM
Pop male 16+ not in labor force (2019),LBFCYMNLF
Pop male 20-24 yrs (2019),AGECYM2024
Pop male 25-29 yrs (2019),AGECYM2529
Pop male 30-34 yrs (2019),AGECYM3034
Pop male 35-39 yrs (2019),AGECYM3539
Pop male 40-44 yrs (2019),AGECYM4044
Pop male 45-49 yrs (2019),AGECYM4549
Pop male 50-54 yrs (2019),AGECYM5054
Pop male 55-59 yrs (2019),AGECYM5559
Pop male 60-64 yrs (2019),AGECYM6064
Pop male 65-69 yrs (2019),AGECYM6569
Pop male 70-74 yrs (2019),AGECYM7074
Pop male 75-79 yrs (2019),AGECYM7579
Pop male 80-84 yrs (2019),AGECYM8084
Pop male 85+ yrs (2019),AGECYMGT85
Pop multirace (2019),RACCYMULT
Pop Non-Hispanic (2019),HISCYNONH
Pop other race (2019),RACCYOTHER
Pop white (2019),RACCYWHITE
Population (2019),POPCY
Population Age < 18 Asian (2019),AGRCYASIAN
Population Age < 18 Black (2019),AGRCYBLACK
Population Age < 18 Hispanic (2019),AGRCYHISP
Population Age < 18 Other not Hispanic (2019),AGRCYOMNH
Population Age < 18 White not Hispanic (2019),AGRCYWNH
RecID,RecID
Renter hh 1 vehicle available (2019),VPHCYR1
Renter hh 2 vehicles available (2019),VPHCYR2
Renter hh 3 vehicles available (2019),VPHCYR3
Renter hh 4 vehicles available (2019),VPHCYR4
Renter hh 5+ vehicles available (2019),VPHCYR5
Renter hh no vehicle available (2019),VPHCYR0
Separated (2019),MARCYSEP
Unemployment Rate (2019),UNECYRATE
Widowed (2019),MARCYWIDOW
