geoid_hashed,DADI,DACI,DAGI,DAEI,Inquiries,Google,BLS Job Openings,BLS Current Employment,BLS Future Employment,BLS Generalist Jobs,BLS Gen Jobs Opennings,2019 Completion
a13314,3.22,0.56,8.67,16.97,1,12.428,3.5399,38.834,38.986,0.036855,0.033236,0
a13315,3.8,0.67,9.79,19.48,2,6.4026,1.7764,19.79,19.592,0.018987,0.016934,0
a13316,4.26,0.75,11.03,21.5,0,6.3597,1.762,20.119,19.479,0.01886,0.016766,0
a13317,3.78,0.65,10.33,19.43,0,13.007,3.5385,39.752,39.057,0.038573,0.034088,0
a13318,4.69,0.84,12.13,23.42,3,15.856,4.4013,49.338,48.57,0.047023,0.041678,0
a13319,5.1,0.95,14.06,26.13,1,9.7455,2.7021,30.824,29.869,0.028901,0.026102,0
a13320,4.46,0.69,10.6,23.77,7,15.925,4.4166,51.66,48.937,0.047226,0.041887,0
a13321,3.71,0.53,9.24,19.86,0,6.3682,1.7947,19.947,19.79,0.018885,0.017238,0
a13322,4.15,0.75,10.34,21.23,4,12.891,3.6196,41.228,40.004,0.038229,0.033931,0
a13323,5.13,0.92,12.04,26.57,2,11.535,3.2257,37.803,35.749,0.034208,0.030195,0
a13324,5.43,0.98,12.54,27.88,3,12.007,3.3775,39.279,37.403,0.035608,0.031389,0
a13325,4.61,0.82,11.53,23.13,5,11.775,3.3059,37.387,36.512,0.03492,0.030789,0
a13326,4.8,0.86,11.69,24.4,0,8.9387,2.5332,28.76,27.989,0.026508,0.023859,0
a13327,5.16,0.93,12.37,26.12,4,15.655,4.4199,50.227,48.839,0.046425,0.042085,0
a13328,4.98,0.9,12.26,24.83,3,10.552,2.8402,31.942,31.353,0.031293,0.027854,0
a13329,5.14,0.94,11.79,26.66,8,29.151,8.1455,95.739,90.298,0.086448,0.07763,0
a13330,4.8,0.87,11.51,25.17,24,18.749,5.1641,58.725,57.065,0.0556,0.050499,0
a13331,4.8,0.86,11.49,24.92,8,12.955,3.6288,39.465,39.933,0.03842,0.035205,0
a13332,4.9,0.88,11.66,25.47,4,8.2693,2.2799,24.963,25.105,0.024523,0.021925,0
a13333,4.95,0.89,11.75,25.78,5,11.05,2.9786,35.023,33.021,0.03277,0.029648,0
a13334,4.91,0.88,11.63,25.58,3,7.6599,2.0772,24.103,22.999,0.022716,0.020232,0
a13335,4.79,0.87,11.31,24.97,4,15.401,4.2385,49.51,46.959,0.045674,0.041361,0
a13336,4.94,0.9,11.65,25.78,9,19.006,5.1542,60.258,57.108,0.056364,0.049505,0
a13337,4.66,0.84,11.19,24.17,8,18.461,5.0841,57.592,56.161,0.054748,0.049562,0
a13338,4.95,0.89,11.82,25.57,4,10.702,2.9612,32.615,32.625,0.031739,0.028865,0
a13339,4.8,0.86,11.57,24.78,11,20.984,5.7747,65.001,63.752,0.06223,0.056249,0
a13340,4.65,0.83,11.29,23.84,4,12.179,3.3181,38.662,36.753,0.036117,0.032565,0
a13341,4.09,0.6,9.95,21.8,10,27.902,7.6844,86.124,84.8,0.082745,0.074735,0
a13342,4.19,0.58,10.23,22.11,5,20.851,5.7036,64.901,63.031,0.061836,0.056088,0
a13343,5.18,0.94,12.89,25.54,2,15.118,4.1635,48.608,46.124,0.044834,0.039426,0
a13344,5.6,1.01,13.22,27.92,2,21.01,5.9823,69.157,66.211,0.062307,0.055159,0
a13345,5.59,1.01,13.05,28.22,6,12.153,3.4315,39.092,37.926,0.03604,0.032619,0
a13346,5.66,1.04,13.73,27.89,10,22.357,6.2663,73.456,69.448,0.066303,0.059786,0
a13347,5.48,0.99,13.24,27.01,2,32.21,9.1396,106.26,101.21,0.095522,0.084142,0
a13348,5.86,1.08,14.05,28.95,6,14.38,3.9806,46.831,44.131,0.042645,0.037719,0
a13349,5.82,1.07,14.15,28.71,3,25.143,6.8623,81.624,76.163,0.074562,0.067261,0
a13350,5.49,1.07,14.69,27.78,5,17.744,4.9162,56.489,54.38,0.052622,0.047517,0
a13351,5.36,1.01,13.92,26.76,0,24.404,6.7342,78.815,74.622,0.072373,0.063878,0
a13352,5.73,1.04,13.12,29.05,8,17.255,4.6987,55.242,52.09,0.051172,0.046413,0
a13353,5.96,1.07,13.75,29.83,9,20.01,5.5609,64.428,61.561,0.059342,0.052297,0
a13354,5.94,1.07,13.52,30.11,9,14.474,4.012,45.269,44.301,0.042925,0.038664,0
a13355,3.25,0.45,8.44,17.77,2,12.805,3.3929,38.218,37.459,0.037975,0.03414,0
a13356,6.08,1.05,13.51,34.53,7,11.604,7.5709,82.873,84.31,0.096875,0.091404,0
a13357,6.19,1.08,13.7,34.74,10,22.156,14.238,162.78,159.28,0.18497,0.171,0
a13358,6.29,1.09,13.86,34.88,13,27.224,17.492,197.3,195.39,0.22728,0.21277,0
a13359,6.3,1.1,14.01,34.59,4,14.118,9.079,103.33,101.51,0.11787,0.10923,0
a13360,6.11,1.08,13.8,34.39,33,23.731,15.14,171.85,169.23,0.19812,0.1852,0
a13361,6.04,1.05,13.52,34.3,1,13.99,9.2355,103.46,103.09,0.1168,0.10786,0
a13362,6.03,1.04,13.43,34.39,2,7.3252,4.7715,50.572,52.963,0.061156,0.057406,0
a13363,5.96,1.04,13.34,34.04,10,16.38,10.508,117.78,117.3,0.13675,0.12772,0
a13364,5.89,1.03,13.3,33.72,10,19.113,12.347,138.57,137.85,0.15957,0.14967,0
a13365,6,1.05,13.63,34.02,10,15.38,9.9624,112.27,111.27,0.1284,0.12016,0
a13366,5.96,1.05,13.65,33.72,3,6.9476,4.3707,50.703,48.968,0.058003,0.054268,0
a13367,5.6,0.96,12.54,33.19,8,24.924,16.488,189.37,184.53,0.20808,0.19172,0
a13368,5.22,0.95,12.04,31.93,6,16.787,11.144,127.83,124.71,0.14015,0.12915,0
a13369,5.4,0.93,12.3,32.34,11,13.715,9.1505,103.27,102.22,0.1145,0.10701,0
a13370,5.91,1.01,13.08,34.19,11,24.465,16.02,185.16,179.41,0.20425,0.19135,0
a13371,6.03,1.04,13.34,34.5,6,16.127,10.582,118.73,118.14,0.13464,0.12579,0
a13372,6.35,1.1,13.83,35.25,5,20.233,13.555,154.42,151.58,0.16892,0.15606,0
a13373,6.27,1.08,13.7,35.32,3,14.38,9.4828,108.19,106.06,0.12006,0.11083,0
a13374,6.18,1.06,13.54,34.94,6,25.486,16.5,190.05,184.73,0.21277,0.19591,0
a13375,6.04,1.1,13.92,33.2,6,18.68,12.822,143.4,143.1,0.15595,0.14885,0
a13376,5.71,1.07,13.58,31.96,10,31.245,20.583,234.69,230.18,0.26085,0.24042,0
a13377,5.22,0.93,12.22,31.13,20,36.107,23.162,266.79,259.31,0.30145,0.27842,0
a13378,4.39,0.83,10.92,28.79,4,16.23,10.709,118.89,119.43,0.1355,0.12434,0
a13379,4.81,0.89,11.52,30.24,6,23.619,15.655,174,174.61,0.19719,0.18543,0
a13380,4.56,0.86,11.13,28.55,7,17.5,12.318,138.89,137.6,0.1461,0.13641,0
a13381,4.03,0.85,10.85,24.93,7,9.3078,6.1242,68.615,68.363,0.077708,0.073235,0
a13382,3.85,0.8,10.36,24.23,2,15.423,10.036,112.3,112.02,0.12876,0.12056,0
a13383,4.17,0.85,10.85,25.95,4,17.783,11.515,132.43,128.9,0.14847,0.13633,0
a13384,4.31,0.89,11.34,26.3,4,14.187,9.2362,105.88,103.35,0.11844,0.11041,0
a13385,4.23,0.82,10.61,27.08,7,19.873,12.837,145.35,143.46,0.16591,0.15552,0
a13386,3.86,0.75,9.83,25.42,10,29.151,19.132,216.19,213.75,0.24337,0.22729,0
a13387,4.78,0.93,11.95,28.79,5,27.421,18.007,207.54,201.61,0.22893,0.21435,0
a13388,3.66,0.73,9.52,24.35,3,21.04,13.508,155.89,151.25,0.17566,0.16191,0
a13389,3.37,0.67,9.01,22.41,5,23.602,15.447,174.49,172.58,0.19705,0.18195,0
a13390,3.91,0.8,10.21,24.9,8,30.339,19.714,226.82,220.68,0.25329,0.23466,0
a13391,5.68,0.99,12.93,32.88,7,29.099,18.516,209.7,206.92,0.24294,0.22296,0
a13393,6.05,1.48,18.36,32.16,20,28.447,2.0496,23.356,22.636,0.10106,0.095399,0
a13394,6.22,1.44,18.66,32.58,17,27.138,2.0094,21.692,22.082,0.096414,0.091483,0
a13395,6.02,1.45,17.96,31.79,7,18.684,1.3762,15.416,15.175,0.06638,0.060972,0
a13396,5.95,1.42,17.62,31.6,31,25.941,1.938,20.755,21.282,0.09216,0.087916,0
a13397,6.1,1.42,18.17,31.99,10,23.902,1.7881,19.348,19.655,0.084919,0.080668,0
a13398,6.06,1.41,17.88,31.72,3,14.702,1.0902,11.929,11.995,0.052232,0.049451,0
a13399,5.99,1.28,16.75,31.11,11,21.036,1.5935,17.796,17.566,0.074735,0.069587,0
a13400,6.02,1.32,17.51,31.46,5,13.251,1.0062,11.314,11.098,0.047079,0.043535,0
a13401,6.06,1.3,17.74,31.54,14,35.609,2.7169,30.735,29.986,0.12651,0.11943,0
a13402,5.75,1.35,16.48,30.41,1,13.856,1.1545,12.848,12.723,0.049228,0.052331,300
a13403,5.68,1.39,16.44,30.25,3,6.8059,0.49008,5.4257,5.398,0.02418,0.022675,0
a13404,5.72,1.4,16.62,30.49,11,12.513,0.9319,9.9472,10.231,0.044457,0.041893,0
a13405,5.66,1.41,16.71,30.33,8,15.946,1.1852,12.41,12.989,0.056653,0.053402,0
a13406,5.73,1.42,16.78,30.49,11,17.723,1.3142,13.738,14.401,0.062965,0.058829,0
a13407,5.75,1.41,16.69,30.57,10,23.237,1.802,19.175,19.777,0.082556,0.078283,0
a13408,5.79,1.4,16.63,30.64,13,17.869,1.3813,15.217,15.207,0.063483,0.059486,0
a13409,5.79,1.41,16.81,30.63,12,18.277,1.3399,14.389,14.718,0.064932,0.060556,0
a13410,5.81,1.4,16.73,30.77,17,20.92,1.5381,16.378,16.882,0.074323,0.069159,0
a13411,5.85,1.41,16.87,30.78,6,15.822,1.1333,12.884,12.514,0.056211,0.053077,0
a13412,5.9,1.42,17.11,31.09,6,11.818,0.85075,9.647,9.3916,0.041987,0.039703,0
a13413,5.88,1.33,16.83,31.03,17,19.641,1.4478,15.655,15.913,0.06978,0.065946,0
a13414,5.9,1.33,16.63,30.86,8,27.018,1.9276,21.106,21.21,0.095987,0.089521,0
a13415,5.85,1.31,16.54,30.69,8,22.426,1.6316,17.887,17.955,0.079674,0.074309,0
a13416,5.82,1.32,16.44,30.69,23,32.863,2.4478,25.327,26.799,0.11675,0.11079,0
a13417,5.79,1.32,16.51,30.58,12,23.413,1.728,18.527,18.978,0.083181,0.076911,0
a13418,5.8,1.31,16.28,30.49,9,17.508,1.3901,15.156,15.29,0.062203,0.057703,0
a13419,5.77,1.31,16.15,30.31,1,21.534,1.6891,19.189,18.65,0.076503,0.072128,0
a13420,5.76,1.3,16.32,30.39,3,14.62,1.0387,11.814,11.469,0.051942,0.048187,0
a13421,5.72,1.3,16.24,30.26,1,7.7586,0.57157,5.9249,6.2587,0.027564,0.026016,0
a13422,5.72,1.38,16.35,30.33,1,6.8403,0.50617,5.5162,5.5672,0.024302,0.023,0
a13423,5.65,1.29,16.04,30.01,4,24.512,1.8088,19.334,19.86,0.087084,0.082266,0
a13424,5.69,1.29,16.07,30.17,13,25.67,1.9135,19.815,20.951,0.0912,0.086395,0
a13425,5.67,1.29,15.88,30.01,14,26.653,1.9395,21.063,21.326,0.094691,0.088313,0
a13426,5.63,1.27,15.5,29.76,12,25.898,1.8994,20.918,20.911,0.092008,0.085535,0
a13427,5.57,1.28,15.62,29.7,25,17.058,1.226,13.691,13.515,0.060602,0.056591,0
a13428,5.58,1.28,15.83,29.75,5,12.655,0.93377,10.255,10.277,0.04496,0.04175,0
a13429,5.56,1.37,16.1,29.83,6,28.915,2.1373,23.446,23.522,0.10273,0.097222,0
a13430,5.4,1.38,16.18,29.43,10,20.692,1.4923,16.776,16.46,0.073515,0.068122,0
a13431,6.65,1.59,20.8,35.14,1,17.843,1.4336,16.227,15.823,0.063392,0.058453,0
a13432,6.91,1.62,21.56,36.24,2,15.247,1.2088,13.568,13.331,0.054168,0.051166,0
a13433,7.25,1.66,22.53,37.7,7,16.672,1.3257,14.798,14.613,0.05923,0.054888,0
a13434,7.45,1.74,23.09,38.47,7,18.208,1.4393,16.071,15.866,0.064688,0.060021,0
a13435,7.98,1.79,24.45,40.45,4,18.122,1.4278,15.959,15.74,0.064383,0.05961,0
a13436,7.24,1.64,22.3,37.43,10,27.044,2.1387,23.888,23.576,0.096079,0.089164,0
a13437,6.48,1.47,20.19,34.35,6,18.143,1.4452,16.096,15.928,0.064459,0.059696,0
a13438,6.15,1.44,19.27,33.02,0,16.388,1.3031,14.555,14.365,0.058223,0.053587,0
a13439,6.36,1.48,20.08,34.06,12,16.848,1.3162,14.776,14.516,0.059855,0.055561,0
a13440,6.05,1.45,19.29,32.86,2,17.586,1.3863,15.496,15.283,0.062477,0.057825,0
a13441,5.93,1.43,18.88,32.35,7,27.666,2.1746,24.448,23.987,0.098289,0.090608,0
a13442,5.82,1.4,18.42,31.78,3,12.831,1.0205,11.398,11.25,0.045585,0.042112,0
a13443,5.8,1.44,17.19,31.01,15,34.785,2.6006,28.778,28.643,0.12358,0.11648,0
a13444,5.72,1.47,17.46,30.97,11,30.253,2.2681,25.371,25.006,0.10748,0.099797,0
a13445,5.67,1.43,16.93,30.5,13,20.529,1.5152,17.189,16.727,0.072936,0.068603,0
a13446,5.66,1.46,17.27,30.79,28,17.096,1.2818,14.281,14.127,0.060739,0.057273,0
a13447,5.63,1.36,17.63,30.8,6,26.597,1.9776,22.289,21.819,0.094493,0.086676,0
a13448,5.59,1.48,17.45,30.59,8,21.534,1.6142,18.136,17.804,0.076503,0.07172,0
a13449,5.66,1.45,17.23,30.69,1,15.68,1.1665,13.116,12.867,0.055708,0.052271,0
a13450,5.6,1.42,16.77,30.23,5,22.688,1.71,18.95,18.837,0.080604,0.076047,0
a13451,5.59,1.44,17.05,30.51,4,14.899,1.1272,12.251,12.395,0.052933,0.050145,0
a13452,5.81,1.5,17.99,31.39,2,11.458,0.85059,9.5855,9.3844,0.040706,0.037806,0
a13453,6,1.4,18.61,32.22,6,15.985,1.2112,13.535,13.353,0.05679,0.052367,0
a13454,6.22,1.53,19.1,33,0,13.899,1.1501,12.696,12.665,0.049381,0.046224,0
a13455,5.87,1.48,17.81,31.34,3,17.663,1.3331,14.892,14.696,0.062751,0.058208,0
a13456,5.95,1.42,17.36,31.45,1,14.341,1.0915,12.183,12.031,0.050951,0.04721,0
a13457,5.98,1.31,16.7,31.18,6,23.379,1.7374,19.663,19.176,0.083059,0.076472,0
a13458,6.03,1.26,16.15,31.17,9,23.276,1.7662,19.891,19.485,0.082693,0.076152,0
a13459,5.75,1.27,15.6,30.12,5,16.727,1.2671,14.237,13.976,0.059428,0.055855,0
a13460,5.82,1.28,15.91,30.4,3,10.526,0.78594,8.938,8.6786,0.037398,0.034502,0
a13461,5.87,1.27,15.84,30.52,1,9.6897,0.73737,8.2652,8.1312,0.034425,0.031736,0
a13462,5.85,1.29,16.09,30.53,4,22.01,1.715,19.428,18.931,0.078195,0.073423,0
a13463,5.86,1.31,16.33,30.69,12,21.504,1.6702,18.068,18.358,0.076396,0.073028,0
a13464,5.88,1.3,16.17,30.7,12,23.795,1.8229,20.187,20.08,0.084538,0.080121,0
a13465,5.9,1.32,16.47,30.83,9,19.332,1.4793,16.505,16.306,0.068682,0.063498,0
a13466,5.9,1.28,15.98,30.77,10,23.739,1.8115,20.064,19.953,0.084339,0.079105,0
a13467,5.94,1.29,16.23,30.93,15,17.101,1.306,14.631,14.401,0.060754,0.055963,0
a13468,6.04,1.23,15.69,31.09,2,33.124,2.538,28.217,27.966,0.11768,0.10906,0
a13469,5.9,1.25,15.63,30.68,8,29.49,2.2501,25.052,24.797,0.10477,0.097661,0
a13470,6.04,1.22,15.34,31.31,4,33.163,2.4983,27.91,27.541,0.11782,0.10868,0
a13471,5.9,1.22,15.35,30.81,2,32.729,2.4871,27.801,27.419,0.11628,0.10802,0
a13472,5.75,1.23,15.3,30.33,16,17.457,1.2978,14.577,14.314,0.06202,0.057094,0
a13473,5.87,1.19,15.07,30.89,5,18.804,1.3968,15.641,15.402,0.066807,0.061757,0
a13474,5.68,1.21,15.03,30.1,8,32.249,2.4555,27.432,27.069,0.11457,0.1061,0
a13475,6.29,1.15,14.38,33.45,6,8.8572,0.66419,6.7026,7.2561,0.031467,0.029785,0
a13476,6.31,1.15,14.41,33.35,4,11.329,0.83023,8.9778,9.1251,0.040249,0.036911,0
a13477,6.32,1.15,14.44,33.11,2,10.737,0.85849,9.1948,9.4276,0.038145,0.03635,0
a13478,6.36,1.14,14.48,33.13,8,7.6599,0.56247,6.2107,6.1938,0.027214,0.025596,0
a13479,6.32,1.17,14.7,32.81,11,24.13,1.8097,20.137,19.943,0.085727,0.079629,0
a13480,6.31,1.16,14.64,32.94,7,10.569,0.77107,8.7535,8.5129,0.03755,0.035297,0
a13481,6.28,1.16,14.57,33.02,18,11.475,0.85764,9.1695,9.4168,0.040767,0.03868,0
a13482,6.25,1.16,14.58,32.89,16,24.971,1.868,20.336,20.544,0.088715,0.084028,0
a13483,6.29,1.15,14.52,33.04,8,9.2734,0.71144,7.2054,7.7747,0.032946,0.03175,0
a13484,6.28,1.15,14.46,33.35,7,8.3851,0.61643,6.6881,6.7772,0.02979,0.027932,0
a13485,6.2,1.15,14.49,33.03,25,24.632,1.8499,20.346,20.364,0.08751,0.082969,0
a13486,6.13,1.13,14.25,33.32,18,33.541,2.4835,27.834,27.386,0.11916,0.10977,0
a13487,6.23,1.14,14.28,33.57,21,15.543,1.1721,12.895,12.903,0.05522,0.052575,0
a13488,6.28,1.15,14.34,33.47,6,9.2691,0.71142,7.5996,7.8107,0.032931,0.031965,0
a13489,6.3,1.15,14.3,33.65,13,16.427,1.2431,13.206,13.641,0.058361,0.055495,0
a13490,6.35,1.13,14.31,33.72,7,20.62,1.5401,16.787,16.939,0.073256,0.069404,0
a13491,6.33,1.12,14.16,34.04,4,16.105,1.2022,13.416,13.252,0.057217,0.053087,0
a13492,6.04,1.17,14.85,32.08,21,13.758,1.0525,11.564,11.585,0.048878,0.046694,0
a13493,6.04,1.18,14.92,31.8,5,10.316,0.77526,8.4931,8.5309,0.036651,0.034175,0
a13494,5.95,1.18,14.89,31.41,7,18.259,1.3692,15.279,15.092,0.064871,0.060206,0
a13495,6.13,1.17,14.85,32.27,10,19.036,1.4125,15.894,15.582,0.06763,0.062809,0
a13496,6.09,1.19,15.06,31.65,8,33.468,2.5191,28.196,27.775,0.1189,0.11005,0
a13497,6.17,1.18,14.95,31.99,11,21.16,1.5605,17.626,17.22,0.075177,0.069552,0
a13498,6.27,1.17,14.86,32.67,6,10.441,0.78959,8.815,8.7038,0.037093,0.034484,0
a13499,6.1,1.15,14.62,32.46,3,16.929,1.3204,14.83,14.563,0.060144,0.055124,0
a13500,5.98,1.17,14.74,31.8,4,21.379,1.5902,17.995,17.552,0.075954,0.071264,0
a13501,5.92,1.14,14.44,31.75,3,26.541,2.0039,22.285,22.082,0.094295,0.087687,0
a13502,5.31,1.35,15.77,29.05,2,28.94,2.1586,24.231,23.807,0.10282,0.095425,0
a13503,5.39,1.36,15.82,29.37,27,23.791,1.7534,19.876,19.356,0.084522,0.079633,0
a13504,5.39,1.34,15.64,29.2,2,10.711,0.80944,9.0465,8.9234,0.038053,0.03571,0
a13505,5.48,1.26,15.51,29.35,6,11.338,0.84867,9.4806,9.3556,0.040279,0.037446,0
a13506,5.57,1.26,15.34,29.53,4,19.804,1.4826,16.661,16.352,0.070359,0.066299,0
a13507,5.48,1.23,15,29.27,7,13.157,0.98887,11.04,10.9,0.046743,0.043227,0
a13508,5.57,1.22,15.01,29.66,6,15.749,1.1914,13.336,13.137,0.055952,0.051367,0
a13509,5.19,1.2,14.69,28.37,15,22.323,1.7434,19.316,19.204,0.079308,0.07358,0
a13510,5.31,1.12,15.19,28.76,4,17.011,1.2919,14.552,14.253,0.060434,0.057206,840
a13511,5.17,1.3,15.13,28.44,3,18.045,1.3642,15.348,15.049,0.064108,0.060159,0
a13512,5.07,1.18,14.54,27.89,1,13.921,1.0589,11.922,11.682,0.049457,0.046638,0
a13513,5.09,1.16,14.23,28,2,10.462,0.80012,8.9633,8.8226,0.037169,0.034129,0
a13514,4.93,1.11,13.84,27.5,2,11.9,0.89257,10.114,9.8525,0.042276,0.039757,0
a13515,5.27,1.2,14.53,28.62,6,24.868,1.8931,21.142,20.868,0.088349,0.081696,0
a13516,5.31,1.15,14.17,29.08,12,30.974,2.3356,26.141,25.751,0.11004,0.10215,0
a13517,5.55,1.14,14.27,30.25,13,29.571,2.2572,25.063,24.869,0.10506,0.097552,0
a13518,4.68,1.02,12.75,26.98,0,14.148,1.0528,11.958,11.624,0.050265,0.047234,0
a13519,4.82,1.07,13.28,27.33,0,14.732,1.119,12.327,12.319,0.052339,0.04914,0
a13520,4.88,1.02,12.84,28.26,10,28.382,2.1553,24.119,23.763,0.10084,0.093538,0
a13521,5.13,1.09,13.61,28.74,2,22.855,1.7333,19.482,19.118,0.081199,0.074533,0
a13522,5.4,1.08,13.65,30.27,2,14.483,1.0861,12.334,11.992,0.051454,0.048311,0
a13523,4.26,0.92,11.51,25.72,1,22.233,1.6735,18.849,18.463,0.078988,0.073089,0
a13524,4.9,1,12.59,28.83,6,32.661,2.5098,27.95,27.66,0.11604,0.10773,0
a13525,4.77,0.97,12.18,28.39,2,22.031,1.6868,18.932,18.603,0.078272,0.072021,0
a13526,6,1.24,16.22,30.86,7,25.821,1.9783,22.564,21.851,0.091734,0.086378,0
a13527,6.33,1.17,14.77,32.19,3,25.293,1.8699,20.875,20.612,0.089858,0.083133,0
a13528,6.27,1.19,14.98,32.08,6,15.436,1.1862,13.318,13.083,0.054839,0.050654,0
a13529,6.28,1.18,14.92,31.73,5,26.28,2.0376,22.734,22.46,0.093365,0.086603,0
a13530,6.18,1.2,15.19,31.79,7,28.623,2.1929,24.774,24.199,0.10169,0.095238,0
a13531,6.18,1.21,15.3,31.56,5,28.185,2.1913,24.398,24.149,0.10013,0.093007,0
a13532,5.86,1.15,14.93,29.24,6,20.298,1.5886,17.862,17.523,0.072112,0.066243,0
a13533,5.74,1.14,15.09,28.93,1,11.303,0.92253,10.341,10.173,0.040157,0.036795,0
a13534,6.05,1.2,15.37,30.48,15,30.142,2.2617,24.969,24.905,0.10709,0.10071,0
a13535,6.05,1.22,15.75,30.83,27,30.039,2.2147,25.02,24.44,0.10672,0.099995,0
a13536,6.11,1.23,15.89,31.13,7,17.68,1.3273,14.823,14.631,0.062812,0.058084,0
a13537,5.95,1.19,15.75,30.22,13,27.593,2.0759,23.034,22.87,0.09803,0.092888,0
a13538,5.94,1.19,15.4,30.01,9,30.103,2.2376,25.154,24.682,0.10695,0.098848,0
a13539,5.91,1.24,16.68,30.47,10,27.76,2.2301,25.313,24.62,0.098625,0.093091,0
a13540,5.83,1.2,16.5,30.15,10,25.095,1.9467,21.971,21.48,0.089157,0.081949,0
a13541,6.17,1.2,15.3,31.21,7,23.945,1.9417,21.725,21.408,0.085071,0.078454,0
a13542,6.15,1.21,15.61,31.12,5,16.101,1.2438,14.027,13.724,0.057202,0.053661,0
a13543,5.58,1.04,16.08,28.78,0,12.234,0.92051,10.247,10.144,0.043466,0.040262,0
a13544,5.64,1.12,15.52,28.84,1,18.143,1.3514,15.181,14.905,0.064459,0.060383,0
a13545,5.85,1.15,16.84,30.27,5,24.053,1.7638,19.959,19.467,0.085452,0.078739,0
a13546,5.58,1.1,15.79,28.82,6,10.454,0.78324,8.5256,8.6137,0.037139,0.034935,0
a13547,5.54,1.07,15.79,28.66,1,20.22,1.4989,16.491,16.5,0.071838,0.067414,0
a13548,6.07,1.16,14.78,30.17,9,22.229,1.5957,17.127,17.526,0.078973,0.073729,0
a13549,6.08,1.15,14.68,30.21,10,16.813,1.2502,12.667,13.662,0.059733,0.05679,0
a13550,6.12,1.16,14.74,30.41,7,11.132,0.82676,7.5888,8.963,0.039547,0.03746,0
a13551,6.1,1.16,14.81,30.35,10,14.612,1.0982,9.9146,11.891,0.051912,0.049876,0
a13552,6.1,1.13,14.92,30.37,6,12.144,0.89632,9.0754,9.7949,0.043145,0.041128,264
a13553,5.99,1.15,14.62,29.96,34,31.579,2.3267,23.099,25.384,0.11219,0.10634,0
a13554,6.03,1.14,14.51,29.9,4,8.7842,0.63542,6.8943,6.9861,0.031208,0.029383,0
a13555,6.02,1.14,14.51,30.16,32,16.371,1.1879,12.855,13.057,0.058162,0.054871,0
a13556,6.16,1.15,14.68,30.58,4,17.573,1.2703,13.651,13.954,0.062431,0.05896,0
a13557,6.14,1.16,14.8,30.61,13,17.766,1.3107,13.803,14.372,0.063117,0.059934,0
a13558,6.14,1.17,14.93,30.75,19,24.349,1.7463,19.203,19.222,0.086504,0.080262,0
a13559,6.11,1.18,15.02,30.53,12,19.766,1.4394,15.275,15.794,0.070222,0.066451,0
a13560,6.1,1.18,15.17,30.49,7,21.057,1.5376,16.823,16.918,0.074811,0.071243,0
a13561,6.04,1.17,15.02,30.14,7,14.513,1.0477,11.376,11.52,0.051561,0.048703,0
a13562,6.01,1.17,15.05,30.01,4,27.104,1.9537,21.558,21.513,0.096292,0.090619,0
a13563,6.05,1.17,14.95,30.14,9,14.44,1.0595,10.486,11.556,0.051302,0.04835,0
a13564,5.93,1.1,14.77,29.57,16,18.414,1.3375,14.689,14.721,0.065419,0.061773,324
a13565,5.95,1.17,15.14,29.86,1,10.664,0.76255,8.5437,8.4085,0.037886,0.035196,0
a13566,5.93,1.13,14.54,29.45,9,20.697,1.478,16.643,16.306,0.07353,0.067809,0
a13567,5.9,1.1,14.37,29.22,8,18.491,1.32,14.754,14.552,0.065694,0.061126,0
a13568,5.95,1.1,14.34,29.41,3,11.247,0.81935,9.1442,9.0315,0.039959,0.037757,0
a13569,5.98,1.1,14.34,29.7,7,12.479,0.89905,9.8387,9.8921,0.044335,0.041878,0
a13570,6.06,1.1,14.23,30.17,4,14.44,1.0429,11.705,11.502,0.051302,0.048089,0
a13571,6.06,1.11,14.39,30.25,15,11.582,0.84254,9.325,9.2799,0.041148,0.038998,0
a13572,6.2,1.17,14.81,30.9,8,23.19,1.6483,18.57,18.185,0.082388,0.076346,0
a13573,6.24,1.18,14.94,31.16,4,14.444,1.028,11.564,11.34,0.051317,0.04771,0
a13574,6.2,1.18,14.95,31.01,15,25.095,1.7843,20.119,19.687,0.089157,0.083846,0
a13575,6.18,1.19,15.08,30.92,9,27.837,2.0164,22.459,22.222,0.098899,0.09197,0
a13576,6.25,1.13,14.54,31.3,8,27.292,2.0871,23.464,23.022,0.096963,0.089486,0
a13577,6.14,1.11,14.34,30.63,10,23.293,1.7654,19.786,19.467,0.082754,0.07696,0
a13578,6.21,1.11,14.19,31.14,3,19.62,1.5085,16.892,16.633,0.069703,0.06447,0
a13579,5.78,1.39,16.53,30.51,3,21.482,1.5839,17.474,17.44,0.07632,0.070832,0
a13580,5.75,1.31,16.44,30.48,20,14.826,1.1083,12.233,12.204,0.052674,0.04868,0
a13581,5.75,1.44,17.06,30.73,8,32.747,2.4689,27.27,27.188,0.11634,0.10912,0
a13583,3.83,0.74,9.87,26.31,0,10.192,1.8518,20.471,20.16,0.017211,0.015535,0
a13584,3.42,0.7,9.08,23.83,5,14.401,2.534,28.224,27.604,0.02432,0.021889,0
a13585,3.22,0.66,8.69,22.67,3,19.079,3.2751,36.266,35.659,0.032219,0.029339,0
a13586,2.65,0.38,9.23,23.39,22,28.391,5.052,53.118,54.78,0.047944,0.044649,0
a13587,2.59,0.38,9.19,23.22,14,9.96,1.7457,17.49,18.859,0.016819,0.015706,0
